"Qty";"Value";"Device";"Package";"Parts";"Description";"BREAKDOWN_VOLTAGE";"CATEGORY";"CLAMPING_VOLTAGE";"COLOR";"CURRENT_RATING";"DATASHEET-URL";"DESCRIPTION";"IR-UL";"MANUFACTURER";"MOUNT";"MPN";"OPERATING_TEMP";"PART-NUMBER";"PART_STATUS";"PINS";"PITCH";"POLES";"POPULARITY";"QTY";"RATING";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VOLTAGE_RATING";"WIRE";"WORKING-VOLTAGE-UL";
"1";"";"418121270802";"418121270802";"S1";"WS-DISV Small Compact SMT with Raised Actuator 2.54 mm";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/418121270802.pdf";"";"";"";"";"";"";"418121270802";"";" 2 ";"";"";"";" 800 ";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"691402910002B";"691402910002B";"J3, J4, J5";"WR-TBL Serie 4029 - 2.54 mm Screwless Horizontal Entry";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/691402910002B.pdf";"";"6A";"";"THT";"";"";"691402910002B";"";" 2 ";"2.54mm";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";"";"20 to 26 (AWG) 0.518 to 0.129 (mm²)";"150V (AC)";
"1";"";"691402910008B";"691402910008B";"J2";"WR-TBL Serie 4029 - 2.54 mm Screwless Horizontal Entry";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/691402910008B.pdf";"";"6A";"";"THT";"";"";"691402910008B";"";" 8 ";"2.54mm";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";"";"20 to 26 (AWG) 0.518 to 0.129 (mm²)";"150V (AC)";
"1";"";"WE-D-SUB_THT90_EC_214112013";"WE-D-SUB_THT90_EC_214112013";"J1";"WE-D-SUB Filter Bent 90° THT";"";"";"";"";"";"https://katalog.we-online.de/pbs/datasheet/214112013.pdf";"";"";"";"THT";"";"";" 214112013 ";"";"";"";" 25 ";"";"";"";"";"";"";"";"";"";"Male";"";"";"";"";
"2";"0.1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1, C6";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R9";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";
"1";"1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C2";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"24LC512TSSOP";"24LC512TSSOP";"SOP65P640X120-8N";"IC3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R10";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";
"8";"4.7K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1, R2, R3, R4, R5, R6, R7, R8";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";
"8";"680nF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C9, C10, C11, C12, C13, C14, C15, C16";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"FUSE";"FUSE_CHIP-1206(3216-METRIC)";"FUSC3215X82N";"F1, F2, F3, F4, F5, F6, F7, F8";"Fuse - Generic";"";"Circuit-Protection";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fuse";"";"";"";"";"FUSE";"";"";"";
"1";"MCP3208";"MCP3208";"SOIC127P590X175-16N";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP4822";"MCP4822";"SOIC127P600X175-8N";"IC2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"R_0805";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"D9, D10";"LED - Generic";"";"LED";"";"RED";"";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"ROUND_TOP";"";"";"";"";
"21";"TPB1,27";"TPB1,27";"B1,27";"5V, 24V, GND, IN_1, IN_1_F, IN_2, IN_2_F, IN_3, IN_3_F, IN_4, IN_4_F, IN_5, IN_5_F, IN_6, IN_6_F, IN_7, IN_7_F, IN_8, IN_8_F, VOUT_A, VOUT_B";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"TVS-DIODE";"TVS_DO-214AC(SMA)";"DIOM5226X290N";"D1, D2, D3, D4, D5, D6, D7, D8";"TVS Diode - Generic";"";"Circuit-Protection";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TVS-Diode";"";"";"";"";"TVS-DIODE";"";"";"";
