"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"COLOR";"DATASHEET-URL";"DESCRIPTION";"IR-UL";"MANUFACTURER";"MOUNT";"MPN";"OPERATING_TEMP";"PART-NUMBER";"PART_STATUS";"PINS";"PITCH";"POLES";"POPULARITY";"QTY";"RATING";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VOLTAGE_RATING";"WIRE";"WORKING-VOLTAGE-UL";
"1";"";"418121270803";"418121270803";"IC1";"WS-DISV Small Compact SMT with Raised Actuator 2.54 mm";"";"";"https://www.we-online.com/catalog/datasheet/418121270803.pdf";"";"";"";"";"";"";"418121270803";"";" 3 ";"";"";"";" 800 ";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"691402910002B";"691402910002B";"J5, J6";"WR-TBL Serie 4029 - 2.54 mm Screwless Horizontal Entry";"";"";"https://www.we-online.com/catalog/datasheet/691402910002B.pdf";"";"6A";"";"THT";"";"";"691402910002B";"";" 2 ";"2.54mm";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";"";"20 to 26 (AWG) 0.518 to 0.129 (mm²)";"150V (AC)";
"2";"";"691402910008B";"691402910008B";"J1, J2";"WR-TBL Serie 4029 - 2.54 mm Screwless Horizontal Entry";"";"";"https://www.we-online.com/catalog/datasheet/691402910008B.pdf";"";"6A";"";"THT";"";"";"691402910008B";"";" 8 ";"2.54mm";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";"";"20 to 26 (AWG) 0.518 to 0.129 (mm²)";"150V (AC)";
"1";"";"WE-D-SUB_THT90_EC_214112013";"WE-D-SUB_THT90_EC_214112013";"J3";"WE-D-SUB Filter Bent 90° THT";"";"";"https://katalog.we-online.de/pbs/datasheet/214112013.pdf";"";"";"";"THT";"";"";" 214112013 ";"";"";"";" 25 ";"";"";"";"";"";"";"";"";"";"Male";"";"";"";"";
"1";"0.1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C6";"Capacitor - ANSI";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1, R9, R10, R11";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";
"1";"24LC512TSSOP";"24LC512TSSOP";"SOP65P640X120-8N";"IC4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"2k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R2, R3, R4, R5, R6, R7, R8, R14, R15";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";
"2";"CRA034RF";"CRA034RF";"RESCAXS80P320X160X60-8N";"R12, R13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP23S17";"MCP23S17";"SOP65P780X200-28N";"IC2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"PE10";"PE10";"PE-FORM-A";"K1, K2, K3, K4, K5, K6, K7, K8";"SLIM POWER Relay NAiS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"R_0805";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10";"LED - Generic";"LED";"RED";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"ROUND_TOP";"";"";"";"";
"11";"TPB1,27";"TPB1,27";"B1,27";"5V, 24V, GND, OUT_1, OUT_2, OUT_3, OUT_4, OUT_5, OUT_6, OUT_7, OUT_8";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ULN2803";"ULN2803";"SOIC127P1030X265-18N";"IC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
