"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"COLOR";"CRAETED_BY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MANUFACTURER";"MOUNT";"MPN";"OPERATING_TEMP";"PACKAGE";"PART-NUMBER";"PART_STATUS";"POLES";"POPULARITY";"RATING";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VOLTAGE_RATING";
"1";"";"PINHD-2X222X22/90";"HDRRAR44W64P254_2X22_5588X736X556B";"JP1";"WR-PHD 2.54 mm Dual Socket Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X3";"2X03";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"62";"";"";"";"";"";"";"";"";"";"";
"8";"";"WE-D-SUB_THT_TH_214611003";"WE-D-SUB_THT_TH_214611003";"J1, J2, J3, J4, J5, J6, J7, J8";"WE-D-SUB Filter Solder Pin Straight";"";"";"";"https://katalog.we-online.de/pbs/datasheet/214611003.pdf";"";"";"";"THT";"";"";"";" 214611003 ";"";" 25 ";"";"";"";"";"";"";"";"";"Female";"";"";
"22";"0.1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1, C2, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23";"Capacitor - ANSI";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R9, R10";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"8";"2.2K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1, R2, R3, R4, R5, R6, R7, R8";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"1";"2k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R11";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"1";"4700pF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C3";"Capacitor - ANSI";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"60.4";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R12, R13";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"1";"7B-16.000MAAJ-T";"7B-16.000MAAJ-T";"7B-16.000MAAJ-T";"X1";"CRYSTAL 16.0000MHZ 18PF SMD";"";"";"PCBLayout.com";"";"";"887-1104-2-ND";"TXC CORPORATION";"";"7B-16.000MAAJ-T";"";"SMD 4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA1284P";"ATMEGA1284P";"QFP80P1200X1200X120-44N";"IC12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"CD4543";"CD4543";"SOP65P640X120-16N";"IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"CD74HC4051";"CD74HC4051";"SOP65P640X120-16N";"IC15, IC16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"HD-F103";"HD-F103";"HDSP-E";"DIS1, DIS2, DIS3, DIS4, DIS5, DIS6, DIS7, DIS8";"LED DISPLAY";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"MOUNT-PAD-ROUND3.2";"MOUNT-PAD-ROUND3.2";"3,2-PAD";"H1, H2, H3, H4, H5, H6";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";
"1";"PESD1CAN";"PESD1CAN";"SOT23";"D1";"CAN bus ESD protection diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";
"2";"R_0805";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"D9, D10";"LED - Generic";"LED";"RED";"";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"ROUND_TOP";"";"";
"8";"SN74CBTLV3257";"SN74CBTLV3257";"SOP65P640X120-16N";"IC17, IC18, IC19, IC20, IC21, IC22, IC23, IC24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"SN74LVC1G04SOT65";"SN74LVC1G04SOT65";"SOT65P210X110-5N";"IC1, IC2, IC3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"SN74LVC1G11";"SN74LVC1G11";"SOP65P210X110-6N";"IC33, IC34, IC35, IC36, IC37, IC38, IC39, IC40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"SN74LVC1G373";"SN74LVC1G373";"SOP65P210X110-6N";"IC25, IC26, IC27, IC28, IC29, IC30, IC31, IC32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"54";"TPB1,27";"TPB1,27";"B1,27";"+5V_1, +5V_2, +5V_3, +5V_4, +5V_5, +5V_6, +5V_7, +5V_8, +24V_1, +24V_2, +24V_3, +24V_4, +24V_5, +24V_6, +24V_7, +24V_8, CAN_H, CAN_N, EEPROMMS_SCL, EEPROMMS_SDA, GND_1, GND_2, GND_3, GND_4, GND_5, GND_6, GND_7, GND_8, SCL, SDA, SPIA_CLK, SPIA_CS, SPIA_CS_MUX_A, SPIA_CS_MUX_B, SPIA_CS_MUX_C, SPIA_MISO, SPIA_MOSI, SPIB_CLK, SPIB_CS, SPIB_CS_MUX_A, SPIB_CS_MUX_B, SPIB_CS_MUX_C, SPIB_MISO, SPIB_MOSI, SPI_BUS_CTRL_A, SPI_BUS_CTRL_B, SPI_BUS_CTRL_C, SPI_BUS_CTRL_D, SPI_FAULT_A, SPI_FAULT_B, SPI_FAULT_C, SPI_INT_A, SPI_INT_B, SPI_INT_C";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";
